,age_group,travel_with,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,total_cost,IncomeGroup,total_visitors
26,25-44,Alone,Others,Wildlife,Agent,Independent,No,No,No,No,No,No,No,0-5,0,Credit Card,Yes,663000.0,High-income countries,1.0
27,`1-24,Alone,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,453866.0,High-income countries,1.0
28,45-64,Spouse and Children,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0-5,1,Cash,Yes,25442625.0,High-income countries,4.0
29,`1-24,Alone,Holiday,Others,Others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,7+,1,Cash,Yes,6961500.0,High-income countries,1.0
30,`1-24,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Credit Card,No,1707030.0,High-income countries,1.0
31,45-64,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,5690100.0,High-income countries,1.0
32,45-64,Friends/Relatives,Holiday,Wildlife,Others,Package Tour,Yes,Yes,Yes,No,Yes,No,No,10-15,1,Cash,Yes,2652000.0,High-income countries,2.0
33,`1-24,Alone,Others,Others,Agent,Package Tour,Yes,Yes,No,No,No,No,No,0-5,0,Cash,Yes,2320500.0,Lower-middle-income countries,1.0
34,45-64,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,4267575.0,High-income countries,1.0
35,25-44,Friends/Relatives,Holiday,Wildlife,Friends,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7+,1,Cash,No,17316000.0,High-income countries,4.0
36,`1-24,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,663000.0,Low-income countries,1.0
37,45-64,Alone,Others,Others,Others,Package Tour,Yes,Yes,No,No,No,No,No,10-15,0,Credit Card,No,3812250.0,Lower-middle-income countries,1.0
38,25-44,Alone,Holiday,Beach,Others,Independent,No,No,No,No,No,No,No,0-5,0,Other,No,828750.0,Upper-middle-income countries,1.0
39,25-44,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Credit Card,No,3000000.0,Low-income countries,1.0
40,45-64,Spouse,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,828750.0,High-income countries,2.0
41,25-44,Children,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,28450500.0,High-income countries,3.0
42,25-44,Alone,Others,Others,Agent,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,745875.0,High-income countries,1.0
43,`1-24,Alone,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,3273562.5,Upper-middle-income countries,1.0
44,45-64,Spouse,Holiday,Beach,Others,Independent,No,No,No,No,No,No,No,0-5,1,Cash,Yes,3397875.0,High-income countries,2.0
45,45-64,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,6132750.0,High-income countries,1.0
46,45-64,Alone,Others,Beach,Friends,Package Tour,Yes,Yes,Yes,Yes,No,No,No,7+,1,Credit Card,No,4992526.0,High-income countries,1.0
47,25-44,Spouse,Holiday,Wildlife,Agent,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,1588531.0,High-income countries,2.0
48,25-44,Spouse and Children,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0-5,1,Cash,Yes,34039950.0,High-income countries,3.0
49,25-44,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,10-15,1,Cash,No,1657500.0,High-income countries,1.0
50,25-44,Alone,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Cash,No,2845050.0,High-income countries,1.0
51,25-44,Spouse and Children,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,No,1000000.0,Low-income countries,3.0
52,25-44,Alone,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,712725.0,High-income countries,1.0
53,`1-24,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,900000.0,High-income countries,1.0
54,25-44,Friends/Relatives,Holiday,Beach,Friends,Package Tour,No,Yes,Yes,Yes,No,No,No,0-5,1,Cash,No,13615980.0,High-income countries,2.0
55,25-44,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,10-15,0,Credit Card,Yes,1491750.0,High-income countries,1.0
56,65+,Spouse,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,2269330.0,High-income countries,2.0
57,45-64,Children,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,No,33150000.0,High-income countries,5.0
58,25-44,Alone,Holiday,Beach,Others,Independent,No,No,No,No,No,No,No,0-5,1,Cash,No,1657500.0,High-income countries,1.0
59,45-64,Children,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,2000000.0,High-income countries,2.0
60,45-64,Alone,Holiday,Wildlife,Friends,Package Tour,Yes,Yes,Yes,No,Yes,Yes,Yes,7+,1,Cash,Yes,6807990.0,High-income countries,1.0
61,25-44,Children,Others,Others,Others,Independent,No,No,No,No,No,No,No,10-15,0,Cash,Yes,700000.0,Low-income countries,2.0
62,45-64,Spouse,Holiday,Beach,Agent,Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0-5,1,Cash,Yes,15885310.0,High-income countries,2.0
63,25-44,Friends/Relatives,Others,Others,Agent,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,90000.0,High-income countries,2.0
64,25-44,Alone,Holiday,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,400000.0,High-income countries,1.0
65,25-44,Spouse and Children,Holiday,Wildlife,Agent,Package Tour,Yes,No,Yes,Yes,Yes,Yes,Yes,10-15,1,Cash,Yes,9945000.0,High-income countries,5.0
66,25-44,Friends/Relatives,Holiday,Others,Friends,Package Tour,No,Yes,No,No,No,Yes,No,10-15,1,Cash,Yes,19890000.0,High-income countries,2.0
67,`1-24,Friends/Relatives,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,2269330.0,High-income countries,4.0
68,25-44,Friends/Relatives,Others,Others,Agent,Package Tour,Yes,Yes,Yes,No,No,No,No,0-5,0,Credit Card,No,16773900.0,High-income countries,4.0
69,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10-15,1,Cash,Yes,1989000.0,High-income countries,2.0
70,25-44,Friends/Relatives,Others,Others,Agent,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,331500.0,Upper-middle-income countries,2.0
71,45-64,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,1422525.0,High-income countries,1.0
72,`1-24,Friends/Relatives,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,5801250.0,High-income countries,4.0
73,25-44,Alone,Others,Others,Agent,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,165750.0,Upper-middle-income countries,1.0
74,25-44,Alone,Holiday,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Credit Card,Yes,2652000.0,High-income countries,1.0
75,45-64,Spouse and Children,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,248625.0,Low-income countries,3.0
76,25-44,Spouse,Holiday,Beach,Others,Package Tour,Yes,Yes,No,No,No,No,No,10-15,1,Cash,Yes,9077320.0,High-income countries,2.0
77,45-64,Spouse,Others,Wildlife,Agent,Independent,No,No,No,No,No,No,No,10-15,0,Cash,Yes,1193400.0,High-income countries,2.0
78,`1-24,Alone,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,331500.0,High-income countries,1.0
79,45-64,Friends/Relatives,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,1989000.0,High-income countries,2.0
80,25-44,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,2269330.0,High-income countries,1.0
81,25-44,Alone,Holiday,Beach,Others,Independent,No,No,No,No,No,No,No,0-5,1,Cash,Yes,1823250.0,Upper-middle-income countries,1.0
82,25-44,Friends/Relatives,Others,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,414375.0,Upper-middle-income countries,2.0
83,25-44,Spouse,Holiday,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,8287500.0,High-income countries,2.0
84,25-44,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,165750.0,High-income countries,1.0
85,25-44,Alone,Others,Beach,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,No,4966000.0,Low-income countries,1.0
86,`1-24,Alone,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Cash,No,1657500.0,High-income countries,1.0
87,45-64,Alone,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,70000.0,High-income countries,1.0
88,25-44,Friends/Relatives,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,4972500.0,High-income countries,2.0
89,25-44,Spouse and Children,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,100000.0,High-income countries,4.0
90,45-64,Spouse,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,10-15,0,Credit Card,Yes,1400000.0,High-income countries,2.0
91,65+,Friends/Relatives,Holiday,Wildlife,Friends,Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,7+,0,Cash,No,9892025.0,High-income countries,4.0
92,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,No,Yes,Yes,No,10-15,1,Cash,Yes,16575000.0,High-income countries,2.0
93,25-44,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,2403375.0,High-income countries,1.0
94,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,10-15,1,Cash,Yes,7375875.0,High-income countries,2.0
95,`1-24,Friends/Relatives,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7+,1,Cash,Yes,7261380.0,High-income countries,4.0
96,65+,Friends/Relatives,Holiday,Wildlife,Friends,Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,7+,0,Cash,No,50553750.0,High-income countries,4.0
97,45-64,Alone,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,0,Credit Card,No,1657500.0,High-income countries,1.0
98,`1-24,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,453866.0,High-income countries,1.0
99,25-44,Alone,Others,Beach,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,828750.0,Lower-middle-income countries,1.0
100,45-64,Friends/Relatives,Others,Others,Friends,Independent,No,No,No,No,No,No,No,10-15,0,Cash,Yes,414375.0,Low-income countries,2.0
101,25-44,Alone,Holiday,Beach,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,2269330.0,High-income countries,1.0
102,45-64,Spouse and Children,Holiday,Wildlife,Agent,Independent,No,No,No,No,No,No,No,7+,1,Credit Card,No,2269330.0,High-income countries,4.0
103,25-44,Alone,Holiday,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Cash,Yes,1657500.0,High-income countries,1.0
104,25-44,Spouse,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,7458750.0,High-income countries,2.0
105,25-44,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,0-5,1,Credit Card,No,3315000.0,Lower-middle-income countries,1.0
106,45-64,Alone,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,No,No,No,No,0-5,1,Credit Card,No,14917500.0,High-income countries,1.0
107,45-64,Alone,Others,Wildlife,Agent,Independent,No,No,No,No,No,No,No,7+,0,Credit Card,Yes,2154750.0,High-income countries,1.0
108,25-44,Alone,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,0-5,0,Credit Card,No,1044225.0,Lower-middle-income countries,1.0
109,65+,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,9116250.0,High-income countries,1.0
110,25-44,Spouse,Others,Wildlife,Agent,Independent,No,No,No,No,No,No,No,10-15,0,Cash,No,2845050.0,High-income countries,1.0
111,25-44,Friends/Relatives,Holiday,Beach,Others,Independent,No,No,No,No,No,No,No,0-5,1,Cash,Yes,2486250.0,High-income countries,2.0
112,25-44,Alone,Holiday,Beach,Others,Package Tour,No,Yes,No,Yes,No,Yes,No,0-5,1,Cash,Yes,1308683.0,High-income countries,1.0
113,65+,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,No,No,No,No,7+,1,Cash,Yes,38951250.0,High-income countries,2.0
114,25-44,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,893392.5,Lower-middle-income countries,1.0
115,25-44,Friends/Relatives,Others,Others,Friends,Independent,No,No,No,No,No,No,No,10-15,1,Cash,Yes,1707225.0,High-income countries,2.0
116,25-44,Friends/Relatives,Holiday,Others,Others,Independent,No,No,No,No,No,No,No,7+,1,Credit Card,Yes,1553800.0,Upper-middle-income countries,2.0
117,65+,Alone,Others,Wildlife,Agent,Package Tour,Yes,No,Yes,Yes,No,No,No,0-5,0,Cash,No,14509755.0,High-income countries,1.0
118,45-64,Friends/Relatives,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,6807990.0,High-income countries,3.0
119,45-64,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,10-15,1,Cash,Yes,33287085.0,High-income countries,2.0
120,25-44,Alone,Holiday,Others,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,No,663000.0,High-income countries,1.0
121,65+,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,3775200.0,Lower-middle-income countries,1.0
122,25-44,Friends/Relatives,Others,Beach,Others,Package Tour,Yes,Yes,Yes,No,No,No,No,7+,0,Cash,No,2060000.0,Lower-middle-income countries,10.0
123,`1-24,Friends/Relatives,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Cash,Yes,1674075.0,High-income countries,2.0
124,`1-24,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,2486250.0,Upper-middle-income countries,1.0
125,25-44,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,2090107.5,Lower-middle-income countries,1.0
126,45-64,Spouse and Children,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Cash,No,2486250.0,High-income countries,4.0
127,25-44,Alone,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10-15,1,Cash,Yes,3978000.0,High-income countries,1.0
128,`1-24,Alone,Others,Others,Agent,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,5221125.0,High-income countries,1.0
129,`1-24,Alone,Holiday,Others,Agent,Package Tour,No,Yes,Yes,No,Yes,Yes,No,0-5,0,Cash,Yes,3698565.0,High-income countries,1.0
130,25-44,Alone,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,663000.0,High-income countries,1.0
131,45-64,Alone,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,0,Credit Card,Yes,21547500.0,High-income countries,1.0
132,25-44,Children,Others,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Cash,No,1657500.0,High-income countries,3.0
133,25-44,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,10-15,0,Credit Card,No,4558125.0,Lower-middle-income countries,1.0
134,65+,Friends/Relatives,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10-15,1,Cash,Yes,7458750.0,High-income countries,2.0
135,25-44,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,994500.0,High-income countries,1.0
136,45-64,Friends/Relatives,Holiday,Wildlife,Others,Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,0-5,1,Cash,Yes,13591500.0,High-income countries,3.0
137,45-64,Spouse and Children,Holiday,Beach,Agent,Independent,No,No,No,No,No,No,No,10-15,0,Cash,Yes,14917500.0,High-income countries,3.0
138,45-64,Spouse and Children,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,Yes,No,No,No,7+,0,Cash,Yes,24199500.0,High-income countries,4.0
139,25-44,Friends/Relatives,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10-15,0,Cash,Yes,5198457.0,High-income countries,2.0
140,25-44,Alone,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,56000.0,Lower-middle-income countries,1.0
141,45-64,Children,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,3000000.0,High-income countries,4.0
142,65+,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,10-15,1,Credit Card,Yes,26779930.0,High-income countries,2.0
143,45-64,Spouse,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,10-15,0,Credit Card,Yes,1400000.0,High-income countries,2.0
144,25-44,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,778930.0,High-income countries,1.0
145,`1-24,Friends/Relatives,Holiday,Beach,Others,Package Tour,No,Yes,Yes,No,No,No,No,7+,1,Cash,Yes,14750645.0,High-income countries,4.0
146,25-44,Alone,Holiday,Wildlife,Friends,Package Tour,Yes,Yes,Yes,Yes,No,No,No,7+,0,Cash,Yes,5138250.0,High-income countries,1.0
147,25-44,Alone,Holiday,Wildlife,Others,Independent,No,No,No,No,No,No,No,10-15,1,Cash,Yes,331500.0,High-income countries,1.0
148,25-44,Alone,Holiday,Others,Friends,Independent,No,No,No,No,No,No,No,10-15,0,Credit Card,No,1657500.0,High-income countries,1.0
149,25-44,Friends/Relatives,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,690000.0,Lower-middle-income countries,3.0
150,`1-24,Alone,Others,Wildlife,Agent,Package Tour,No,Yes,Yes,No,No,No,No,7+,1,Cash,Yes,15147777.75,High-income countries,1.0
151,45-64,Spouse and Children,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,7+,1,Cash,Yes,36876612.5,High-income countries,5.0
152,`1-24,Friends/Relatives,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,3978000.0,High-income countries,2.0
153,25-44,Alone,Others,Others,Agent,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,663000.0,High-income countries,1.0
154,`1-24,Alone,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,1657500.0,High-income countries,1.0
155,25-44,Friends/Relatives,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7+,1,Credit Card,Yes,33481500.0,High-income countries,2.0
156,25-44,Spouse,Holiday,Wildlife,Friends,Package Tour,No,Yes,No,Yes,Yes,Yes,No,7+,1,Cash,Yes,9282000.0,High-income countries,2.0
157,`1-24,Friends/Relatives,Others,Wildlife,Others,Package Tour,No,Yes,Yes,Yes,Yes,No,Yes,7+,0,Cash,Yes,1132600.0,High-income countries,2.0
158,45-64,Spouse and Children,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,8287500.0,High-income countries,3.0
159,25-44,Friends/Relatives,Others,Wildlife,Others,Package Tour,No,Yes,Yes,Yes,No,No,No,10-15,0,Credit Card,Yes,2000000.0,High-income countries,2.0
160,25-44,Alone,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Cash,No,883447.5,Upper-middle-income countries,1.0
161,`1-24,Alone,Holiday,Others,Others,Independent,No,No,No,No,No,No,No,10-15,0,Cash,No,1160250.0,High-income countries,1.0
162,65+,Friends/Relatives,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,No,No,No,No,7+,1,Cash,Yes,4538660.0,High-income countries,2.0
163,25-44,Alone,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,2269330.0,High-income countries,1.0
164,45-64,Alone,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,1160250.0,High-income countries,1.0
165,25-44,Friends/Relatives,Others,Others,Friends,Independent,No,No,No,No,No,No,No,10-15,1,Cash,Yes,3900000.0,Upper-middle-income countries,3.0
166,25-44,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,165750.0,Lower-middle-income countries,1.0
167,25-44,Alone,Holiday,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,3403995.0,High-income countries,1.0
168,45-64,Spouse and Children,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,No,Yes,Yes,Yes,Yes,7+,1,Cash,No,26520000.0,High-income countries,4.0
169,25-44,Friends/Relatives,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Credit Card,Yes,2486250.0,Lower-middle-income countries,2.0
170,25-44,Spouse,Holiday,Wildlife,Others,Package Tour,No,Yes,Yes,Yes,No,Yes,No,10-15,1,Credit Card,No,1657500.0,High-income countries,2.0
171,45-64,Alone,Others,Wildlife,Agent,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,1740375.0,Upper-middle-income countries,1.0
172,25-44,Friends/Relatives,Holiday,Others,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,9077320.0,High-income countries,2.0
173,45-64,Alone,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,10-15,0,Cash,No,1906125.0,High-income countries,1.0
174,25-44,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,564250.0,Lower-middle-income countries,1.0
175,45-64,Friends/Relatives,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10-15,1,Cash,Yes,34039950.0,High-income countries,4.0
176,45-64,Spouse and Children,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7+,1,Cash,Yes,7942655.0,High-income countries,4.0
177,25-44,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,886762.5,Upper-middle-income countries,1.0
178,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,No,No,Yes,Yes,Yes,7+,1,Cash,Yes,31770620.0,High-income countries,2.0
179,25-44,Alone,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,2000000.0,High-income countries,1.0
180,45-64,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,1160250.0,Low-income countries,1.0
181,25-44,Friends/Relatives,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,8535150.0,High-income countries,6.0
182,45-64,Alone,Holiday,Wildlife,Others,Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,0-5,0,Cash,No,1060800.0,High-income countries,1.0
